year,Brazil,Victoria
1992,4031755.2754360763,59553.67704338136
1993,-21601.674552767072,-1.2084579787697294
1994,-21606.434933508746,-3.1728921542526223
1995,-64066.82096355315,-551.2473436101936
1996,-87368.95795386517,-482.6173874378146
1997,-107280.74191528372,-541.1526989285485
1998,-135519.340600817,-532.8397956207846
1999,-179462.76837069774,-723.0138885587439
2000,-190278.62329074927,-603.595496079317
2001,-199319.5401249323,-435.4284818639062
2002,-208832.27183871437,-385.4409304834044
2003,-222153.47685314063,-326.48435923689976
2004,-336360.36579479184,-205.8384649167274
2005,-337628.38591548894,-95.66021167027793
2006,-339549.1328483536,37.17543103308708
2007,-339686.64706976525,100.88943287736038
2008,-341629.7603039858,220.03474193328293
2009,-341913.80255977716,200.8620952834899
2010,-341261.3484072373,362.4202747991221
2011,-343689.2942366251,429.0418949179366
2012,-344480.1478632069,435.8948320361378
2013,-345858.009307784,452.3152183771017
2014,-344919.3942302698,474.5357580217169
2015,-344925.3476392175,474.1595385941764
