year,Bern,Pristina,Roseau,Djibouti,Banjul,Skopje,Bridgetown,Bujumbura,Kingstown,Castries,Basseterre,Port Louis,Saint George's,Manama,Saint John's,Montevideo,Lomé,Tunis,Abu Dhabi,Ashgabat
2002,32.52201,37.865002,37.680008,44.70500499999999,32.820007,42.8395111,44.4150085,47.4229888,29.51300515,36.74700325,50.619995,46.028008799999995,34.48750975,47.02650454999999,45.1255121,43.6315048,47.77000699999999,44.74001330000001,55.567496999999996,52.804482199999995
2003,38.247003899999996,41.925003249999996,38.90850405,45.4985098,33.58451,44.852008,45.78100895,46.505005,33.029014600000004,38.546009600000005,52.579987,48.2710107,36.8039918,46.55800274999999,46.886007899999996,43.736007900000004,50.25,48.7625115,55.041995199999995,51.9259856
2004,32.85000599999999,38.23249934999999,39.74149935,44.66501,33.86150055,43.94651165,43.93301,45.0350035,30.8940122,36.8180124,45.47100654999999,45.69200240000001,37.639990450000006,46.170013,43.53101509999999,40.6155,48.7719909,44.8305035,55.770002,52.6050115
2005,33.875,37.9300104,41.5190055,45.28601545,31.570007,44.04001,45.055999199999995,46.6880096,32.6920021,39.741003,43.260003999999995,48.65401,38.6020092,45.987511999999995,42.360016,40.8560151,48.0790127,46.79050294999999,53.6340148,54.7420106
2006,35.8210144,39.3299996,39.6900078,44.4020088,38.3250115,42.319992,46.8600028,45.60251,33.4375077,39.576007600000004,42.500015250000004,48.1775133,37.26451120000001,46.6960084,44.98001,42.558007499999995,48.637512,47.51300985,55.32200589999999,53.5355085
2007,32.195008,44.02600760000001,39.8800052,48.845,34.2400024,47.04001,46.3395139,47.150011799999994,33.90101,40.0035072,46.54450824999999,47.1815157,38.425505499999986,47.43300585,45.23001,41.3240104,47.9650115,47.973011299999996,55.89900524999999,53.641512549999995
2008,32.7850035,40.835992399999995,39.600006,45.585004,30.380005,45.8450106,44.611496100000004,44.1375045,34.1280028,38.807506999999994,46.57150275,46.9905111,37.351510000000005,46.6300112,45.3880066,41.630005,46.5540108,47.13500525,54.748999999999995,52.706011999999994
2009,34.446002099999994,39.76451,39.0140024,45.200012,30.029999,43.5905151,45.8200065,46.49899045,29.5770051,38.744003,44.43201279999999,48.3200042,37.9200012,46.2180114,44.6699924,41.290008,49.805998699999996,47.7195107,54.420013,52.93699805
2010,34.58351455,41.02801,40.625505149999995,47.056009,39.3660066,44.9660096,46.2639948,45.788508349999994,32.9880076,39.4650118,45.024006,46.311997350000006,39.850015400000004,47.1020158,44.726000799999994,42.4580014,48.357504600000006,46.768509499999986,56.09751,54.019009600000004
2011,33.3240144,40.86300524999999,40.1495044,47.056001499999994,33.48001,46.422002799999994,44.396006549999996,44.3280103,31.5870088,36.41400719999999,42.27700469999999,47.4260103,35.1145111,47.4940002,43.320007,40.8275145,49.621511049999995,46.4575115,54.690509,53.0019828
2012,33.19800885,43.820007,39.020005,46.665998699999996,31.600006,47.911010399999995,45.267505,45.426,34.14900815,37.866010599999996,41.72750175,48.2090118,35.835006,48.06250025,43.640001999999996,43.57701579999999,47.75199919999999,47.2080024,55.4749995,52.9439932
2013,35.686512349999994,41.88249505,39.89100505,48.2770094,34.54001,47.04001,43.3705085,44.5890035,31.72750075,38.295005249999996,43.0399935,47.462501249999995,37.96401359999999,48.7715029,43.069992,44.1750105,48.930009999999996,47.082011349999995,54.909003,52.622505600000004
2014,32.577991000000004,38.75701,40.130014199999984,48.13901195,30.3980129,42.949003,44.3500035,44.8060112,32.914005849999995,40.345006999999995,45.2210106,45.929012699999994,38.1135043,48.68400275,45.660005,40.82450435,48.954010000000004,46.80350865,54.751009849999996,53.22000699999999
2015,38.84100300000001,42.9100124,41.99801,48.2640136,,47.1429939,47.8649905,45.852009200000005,30.65650305,39.6820136,49.35701135,46.25250925,36.950012,49.1060067,47.19851344999999,40.0110079,47.492010199999996,48.100006,56.403998699999995,54.319994799999996
2016,35.136000599999996,37.5,40.468502449999995,44.614007599999994,40.348012899999986,42.43400445,48.6940118,46.38549345,30.9760068,38.544998,46.865013250000004,48.636004299999975,38.801995999999995,48.598509199999995,43.31501,41.6550142,47.5149995,45.1585065,55.082011349999995,51.6405034
2017,34.4000085,41.17700205,40.1460028,49.3800125,36.9740112,45.8670045,46.42950225,45.861999999999995,31.10150585,39.3120116,44.417013149999995,50.46951135,35.165008,48.3375079,42.38501,42.60199599999999,48.0060004,47.1830058,55.9425127,55.4680124
2018,38.064994999999996,38.339507749999996,39.22051,45.9725081,38.080009249999996,43.420013,45.110006299999995,44.6849933,33.31001,37.8250115,45.3980094,46.47600999999999,36.63450475,48.734008,47.74601419999999,42.7930079,47.3880013,47.910004,55.677983,56.130005
