year,Sea Surface Temperature
1981,13.487024307250977
1982,13.498987197875977
1983,13.622797012329102
1984,13.461542129516602
1985,13.480340957641602
1986,13.500207901000977
1987,13.576135635375977
1988,13.565668106079102
1989,13.545007705688477
1990,13.685144424438477
1991,13.582818984985352
1992,13.506555557250977
1993,13.524194717407227
1994,13.534143447875977
1995,13.585565567016602
1996,13.541040420532227
1997,13.683374404907227
1998,13.728998184204102
1999,13.579584121704102
2000,13.625574111938477
2001,13.689691543579102
2002,13.709924697875977
2003,13.750543594360352
2004,13.733606338500977
2005,13.749841690063477
2006,13.727746963500977
2007,13.676019668579102
2008,13.649713516235352
2009,13.749109268188477
2010,13.785211563110352
2011,13.715295791625977
2012,13.765802383422852
2013,13.786310195922852
2014,13.842737197875977
2015,13.898645401000977
2016,13.966455459594727
